Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,ALICIA CASAL FARIÑA, 8943,A,ARIADNA REGO DORADO, 23082,Y,,,,,11-6,11-7,12-10,,,3-0,1 - 0
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,B,SABELA LOPEZ SAAVEDRA, 23021,X,,,,,9-11,11-5,11-6,11-7,,3-1,2 - 0
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,C,ALBA PAZ LAMA, 23083,Z,,,,,11-5,11-4,11-6,,,3-0,3 - 0
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,ALICIA CASAL FARIÑA, 8943,A,SABELA LOPEZ SAAVEDRA, 23021,X,,,,,11-5,9-11,1-11,10-12,,1-3,3 - 1
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,C,ARIADNA REGO DORADO, 23082,Y,,,,,11-7,11-2,4-11,11-7,,3-1,4 - 1
singles,1,20181168,TDM VILALBA SANJURJO MODA,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,B,ALBA PAZ LAMA, 23083,Z,,,,,11-2,11-3,11-3,,,3-0,5 - 1
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,A,ANA OTERO RODRIGUEZ, 19402,Y,,,,,11-6,10-12,11-9,11-8,,3-1,1 - 0
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,B,ANTIA PITA MARIÑO, 20529,X,,,,,11-5,11-7,11-9,,,3-0,2 - 0
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,C,SOFÍA COUCE INSUA, 20841,Z,,,,,6-11,11-6,7-11,2-11,,1-3,2 - 1
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,A,ANTIA PITA MARIÑO, 20529,X,,,,,11-8,11-8,11-6,,,3-0,3 - 1
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,C,ANA OTERO RODRIGUEZ, 19402,Y,,,,,11-7,6-11,12-14,11-3,11-7,3-2,4 - 1
singles,1,10044,COFERSA CIDADE DE NARÓN,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,B,CANDELA MONTERO CAAVEIRO, 23573,Z,,,,,3-11,11-4,11-7,9-11,11-7,3-2,5 - 1
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,SARA RIAL GONZALEZ, 15530,A,MARIÑA GARCIA  TRELLES, 19656,Y,,,,,11-7,11-4,11-5,,,3-0,1 - 0
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,ALICIA CASAL FARIÑA, 8943,B,LAURA FORTE LEYENDA, 28709,X,,,,,11-8,11-8,7-11,8-11,4-11,2-3,1 - 1
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,INÉS QUINTANA RAÑA, 19437,C,NATALIA OUBIÑA GARRIDO, 29342,Z,,,,,11-5,11-2,11-2,,,3-0,2 - 1
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,SARA RIAL GONZALEZ, 15530,A,LAURA FORTE LEYENDA, 28709,X,,,,,7-11,11-13,13-11,9-11,,1-3,2 - 2
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,INÉS QUINTANA RAÑA, 19437,C,MARIÑA GARCIA  TRELLES, 19656,Y,,,,,11-9,11-4,11-8,,,3-0,3 - 2
singles,2,10460,MONTE PORREIRO CONFITERIA CAPRI,20181033,TM MONTE PORREIRO PROMESAS,ALICIA CASAL FARIÑA, 8943,B,NATALIA OUBIÑA GARRIDO, 29342,Z,,,,,11-4,11-2,11-3,,,3-0,4 - 2
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,A,MARIA CALVO RODRIGUEZ, 4404,Y,,,,,11-9,11-5,12-10,,,3-0,1 - 0
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,B,LAURA RODRIGUEZ BARREIRO, 19714,X,,,,,11-9,7-11,12-10,8-11,7-11,2-3,1 - 1
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,C,MARÍA PENA CALVAR, 10784,Z,,,,,11-8,10-12,11-7,12-10,,3-1,2 - 1
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,A,LAURA RODRIGUEZ BARREIRO, 19714,X,,,,,11-8,10-12,10-12,12-10,11-9,3-2,3 - 1
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,C,MARIA CALVO RODRIGUEZ, 4404,Y,,,,,11-7,11-5,9-11,11-8,,3-1,4 - 1
singles,2,1260,CINANIA FEMENINO,10460,MONTE PORREIRO CONFITERIA CAPRI,SARA RIAL GONZALEZ, 15530,B,MARÍA PENA CALVAR, 10784,Z,,,,,9-11,8-11,2-11,,,0-3,4 - 2
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,A,DIANA MONTAOS  CHAVES, 20864,Y,,,,,11-5,11-7,11-4,,,3-0,1 - 0
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,B,CARMELA SANMARTIN PEÑA, 19658,X,,,,,11-6,11-9,11-6,,,3-0,2 - 0
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,ALICIA CASAL FARIÑA, 8943,C,ELENA MONTAOS CHAVES, 20865,Z,,,,,11-6,10-12,11-9,7-11,8-11,2-3,2 - 1
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,INÉS QUINTANA RAÑA, 19437,A,CARMELA SANMARTIN PEÑA, 19658,X,,,,,11-3,11-7,11-6,,,3-0,3 - 1
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,ALICIA CASAL FARIÑA, 8943,C,DIANA MONTAOS  CHAVES, 20864,Y,,,,,11-7,11-7,12-14,5-11,11-5,3-2,4 - 1
singles,2,2017632,RIBADUMIA TENIS DE MESA,10460,MONTE PORREIRO CONFITERIA CAPRI,MAR RIVAS PIDRE, 22264,B,ELENA MONTAOS CHAVES, 20865,Z,,,,,11-7,11-7,11-3,,,3-0,5 - 1
singles,3,10460,MONTE PORREIRO CONFITERIA CAPRI,2017698,AGRUPACION DEPORTIVA ZAS ALUMINIOS XEAL,SARA RIAL GONZALEZ, 15530,A,MIRIAM DOMINGUEZ FREIRE, 18515,Y,,,,,2-11,11-5,4-11,13-15,,1-3,0 - 1
singles,3,10460,MONTE PORREIRO CONFITERIA CAPRI,2017698,AGRUPACION DEPORTIVA ZAS ALUMINIOS XEAL,MAR RIVAS PIDRE, 22264,B,ANA GARCIA MARTINEZ, 19460,X,,,,,11-4,12-10,11-6,,,3-0,1 - 1
