Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,ALEXIS DAMIAN ORENCEL MELNICK, 33904,A,JORGE JIMENEZ MONTES, 14656,Y,,,,,11-5,11-4,11-3,,,3-0,1 - 0
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,ADRIAN VIDAL FERNANDEZ, 3243,B,ANGEL AYUSO SERRA, 18334,X,,,,,11-9,5-11,5-11,3-11,,1-3,1 - 1
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,RUBEN GARCIA RODRIGUEZ, 8287,C,DIEGO SÁNCHEZ LÓPEZ, 7180,Z,,,,,14-12,11-8,7-11,8-11,8-11,2-3,1 - 2
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,ALEXIS DAMIAN ORENCEL MELNICK, 33904,A,ANGEL AYUSO SERRA, 18334,X,,,,,10-12,6-11,14-12,5-11,,1-3,1 - 3
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,RUBEN GARCIA RODRIGUEZ, 8287,C,JORGE JIMENEZ MONTES, 14656,Y,,,,,11-9,8-11,12-10,4-11,8-11,2-3,1 - 4
singles,2,132,PANADERIA SANTY-NARON,56,AD COLLADO MEDIANO,ADRIAN VIDAL FERNANDEZ, 3243,B,DANIEL BAILON CERRADILLO, 18487,Z,,,,,11-7,11-7,11-8,,,3-0,2 - 4
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,DIEGO SÁNCHEZ LÓPEZ, 7180,A,LUCAS EDUARDO BAYONA, 21825,Y,,,,,7-11,10-12,12-10,3-11,,1-3,0 - 1
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,JORGE JIMENEZ MONTES, 14656,B,DANIEL CASALDERREY DIAZ, 4411,X,,,,,11-9,12-10,3-11,11-5,,3-1,1 - 1
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,ANGEL AYUSO SERRA, 18334,C,ANDRES GUILLERMO CORREA PICCONE, 5678,Z,,,,,11-5,11-7,11-7,,,3-0,2 - 1
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,DIEGO SÁNCHEZ LÓPEZ, 7180,A,DANIEL CASALDERREY DIAZ, 4411,X,,,,,11-9,11-7,11-5,,,3-0,3 - 1
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,ANGEL AYUSO SERRA, 18334,C,LUCAS EDUARDO BAYONA, 21825,Y,,,,,4-11,11-7,7-11,8-11,,1-3,3 - 2
singles,2,221,CAMBADOS TENIS DE MESA,56,AD COLLADO MEDIANO,JORGE JIMENEZ MONTES, 14656,B,ANDRES GUILLERMO CORREA PICCONE, 5678,Z,,,,,11-8,8-11,11-8,14-12,,3-1,4 - 2
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,SERGIYI NIGERUK NIGERUK, 4037,A,ANGEL AYUSO SERRA, 18334,Y,,,,,11-9,8-11,11-8,10-12,11-7,3-2,1 - 0
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,PEDRO CASTRO SALGADO, 16939,B,DIEGO SÁNCHEZ LÓPEZ, 7180,X,,,,,10-12,12-10,6-11,4-11,,1-3,1 - 1
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,LAWAL ABIODUM GANIU, 24148,C,DANIEL BAILON CERRADILLO, 18487,Z,,,,,11-8,11-6,11-8,,,3-0,2 - 1
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,SERGIYI NIGERUK NIGERUK, 4037,A,DIEGO SÁNCHEZ LÓPEZ, 7180,X,,,,,11-5,11-4,9-11,11-3,,3-1,3 - 1
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,LAWAL ABIODUM GANIU, 24148,C,ANGEL AYUSO SERRA, 18334,Y,,,,,11-7,7-11,11-9,7-11,7-11,2-3,3 - 2
singles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,PEDRO CASTRO SALGADO, 16939,B,DANIEL BAILON CERRADILLO, 18487,Z,,,,,11-13,5-11,14-12,5-11,,1-3,3 - 3
doubles,2,126,VILAGARCIA  TENIS DE MESA,56,AD COLLADO MEDIANO,,,D,,,D,SERGIYI NIGERUK NIGERUK,4037,LAWAL ABIODUM GANIU,24148,11-6,11-9,11-5,,,3-0,4 - 3
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,ANGEL AYUSO SERRA, 18334,A,CARLOS VEDRIEL SORIANO, 5790,Y,,,,,4-11,5-11,6-11,,,0-3,0 - 1
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,JORGE JIMENEZ MONTES, 14656,B,DENIS CONIC, 19451,X,,,,,7-11,14-12,11-7,9-11,5-11,2-3,0 - 2
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,DIEGO SÁNCHEZ LÓPEZ, 7180,C,RODRIGO CANO LASALDE, 7095,Z,,,,,11-8,11-5,8-11,7-11,11-9,3-2,1 - 2
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,ANGEL AYUSO SERRA, 18334,A,DENIS CONIC, 19451,X,,,,,8-11,11-6,11-6,8-11,8-11,2-3,1 - 3
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,DIEGO SÁNCHEZ LÓPEZ, 7180,C,CARLOS VEDRIEL SORIANO, 5790,Y,,,,,7-11,8-11,11-4,7-11,,1-3,1 - 4
singles,3,56,AD COLLADO MEDIANO,283,CLUB TENIS DE MESA MÓSTOLES,JORGE JIMENEZ MONTES, 14656,B,RODRIGO CANO LASALDE, 7095,Z,,,,,15-13,9-11,11-6,6-11,11-7,3-2,2 - 4
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,ANGEL AYUSO SERRA, 18334,A,MIGUEL NUÑEZ TAPIA, 14625,Y,,,,,8-11,11-7,11-6,5-11,11-6,3-2,1 - 0
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,JORGE JIMENEZ MONTES, 14656,B,JORGE AUSIN BRIONGOS, 3775,X,,,,,11-9,6-11,6-11,5-11,,1-3,1 - 1
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,DANIEL BAILON CERRADILLO, 18487,C,KAROL HASEK ., 6511,Z,,,,,6-11,5-11,11-8,6-11,,1-3,1 - 2
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,ANGEL AYUSO SERRA, 18334,A,JORGE AUSIN BRIONGOS, 3775,X,,,,,7-11,11-4,8-11,5-11,,1-3,1 - 3
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,DANIEL BAILON CERRADILLO, 18487,C,MIGUEL NUÑEZ TAPIA, 14625,Y,,,,,9-11,11-9,11-9,10-12,6-11,2-3,1 - 4
singles,4,56,AD COLLADO MEDIANO,790,UNIVERSIDAD DE BURGOS - TPF,JORGE JIMENEZ MONTES, 14656,B,KAROL HASEK ., 6511,Z,,,,,4-11,8-11,11-6,10-12,,1-3,1 - 5
singles,6,56,AD COLLADO MEDIANO,1351,ETM TORRELAVEGA,JORGE JIMENEZ MONTES, 14656,A,RODION CHMELEV, 33892,Y,,,,,2-11,11-6,5-11,11-5,11-5,3-2,1 - 0
