Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,EDER CASTRESANA MARTIN, 20212,A,UNAX MIRANDA MARTIN, 27256,Y,,,,,8-11,11-8,7-11,7-11,,1-3,0 - 1
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,AITOR ANGULO URRUTIA, 16507,B,JORGE MATEOS SANCHEZ, 7015,X,,,,,11-9,8-11,5-11,8-11,,1-3,0 - 2
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,GABRIEL TEMPRANO SEVILLA, 29730,C,PABLO LOMBRAÑA ALCALDE, 16547,Z,,,,,3-11,6-11,7-11,,,0-3,0 - 3
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,EDER CASTRESANA MARTIN, 20212,A,JORGE MATEOS SANCHEZ, 7015,X,,,,,13-11,11-8,11-9,,,3-0,1 - 3
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,GABRIEL TEMPRANO SEVILLA, 29730,C,UNAX MIRANDA MARTIN, 27256,Y,,,,,9-11,11-9,9-11,11-8,11-9,3-2,2 - 3
singles,1,859,FUENCAMPO - GASTEIZ,20191288,PORTUGALETE GURE TALDE,AITOR ANGULO URRUTIA, 16507,B,PABLO LOMBRAÑA ALCALDE, 16547,Z,,,,,11-13,11-7,10-12,8-11,,1-3,2 - 4
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,ANDER SAN MARTÍN SOLANO, 16186,A,MIKEL PASCUAL DELGADO, 29803,Y,,,,,11-6,11-6,11-2,,,3-0,1 - 0
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,IVAN LOPEZ GARCIA, 24181,B,ALEJANDRO MORENO GARCIA, 3639,X,,,,,11-9,11-6,11-4,,,3-0,2 - 0
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,RENE MORAGA CASTILLO, 29362,C,EDER CASTRESANA MARTIN, 20212,Z,,,,,11-9,11-6,9-11,11-13,14-12,3-2,3 - 0
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,ANDER SAN MARTÍN SOLANO, 16186,A,ALEJANDRO MORENO GARCIA, 3639,X,,,,,10-12,11-1,11-4,11-4,,3-1,4 - 0
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,RENE MORAGA CASTILLO, 29362,C,MIKEL PASCUAL DELGADO, 29803,Y,,,,,11-8,11-8,11-7,,,3-0,5 - 0
singles,2,292,OBERENA,20191288,PORTUGALETE GURE TALDE,IVAN LOPEZ GARCIA, 24181,B,EDER CASTRESANA MARTIN, 20212,Z,,,,,11-4,11-7,11-7,,,3-0,6 - 0
singles,3,16017,GURE TALDE,20191288,PORTUGALETE GURE TALDE,IÑAKI OLMO CALVO, 9227,A,JON ISIDRO IPARRAGUIRRE SANTIAGO, 18850,Y,,,,,11-9,6-11,5-11,5-11,,1-3,0 - 1
singles,3,16017,GURE TALDE,20191288,PORTUGALETE GURE TALDE,AITOR ANGULO URRUTIA, 16507,B,ANDER AURREKOETXEA LEGARRETA, 18832,X,,,,,10-12,6-11,11-5,9-11,,1-3,0 - 2
