Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,ANGELA RODRÍGUEZ  GARCIA, 19691,A,IDOIA PORTA BRETON, 4926,Y,,,,,11-5,11-3,11-8,,,3-0,1 - 0
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,MARTA ORTEGA FABREGA, 21053,B,RUTH OLEA MUÑOZ, 7248,X,,,,,8-11,11-4,11-8,6-11,11-9,3-2,2 - 0
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,MIREIA CIFUENTES FERNANDEZ, 8643,C,FANG NING CHEN CHEN, 4855,Z,,,,,11-1,11-4,11-4,,,3-0,3 - 0
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,ANGELA RODRÍGUEZ  GARCIA, 19691,A,RUTH OLEA MUÑOZ, 7248,X,,,,,11-7,11-5,11-5,,,3-0,4 - 0
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,MIREIA CIFUENTES FERNANDEZ, 8643,C,IDOIA PORTA BRETON, 4926,Y,,,,,11-3,11-4,11-4,,,3-0,5 - 0
singles,1,10203,AD COLLADO MEDIANO  ,919,LEGANES-RIVAS,MARTA ORTEGA FABREGA, 21053,B,FANG NING CHEN CHEN, 4855,Z,,,,,11-4,11-7,11-5,,,3-0,6 - 0
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,IDOIA PORTA BRETON, 4926,A,ANA MARIA VERTIZ PEREZ, 23323,Y,,,,,7-11,3-11,7-11,,,0-3,0 - 1
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,RUTH OLEA MUÑOZ, 7248,B,DANIELA YOLITA ORTEGA GOMEZ, 22652,X,,,,,2-11,6-11,4-11,,,0-3,0 - 2
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,FANG NING CHEN CHEN, 4855,C,AITANA MATELLANES GARCÍA, 14617,Z,,,,,12-10,9-11,11-13,9-11,,1-3,0 - 3
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,IDOIA PORTA BRETON, 4926,A,DANIELA YOLITA ORTEGA GOMEZ, 22652,X,,,,,7-11,9-11,4-11,,,0-3,0 - 4
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,FANG NING CHEN CHEN, 4855,C,ANA MARIA VERTIZ PEREZ, 23323,Y,,,,,11-6,8-11,5-11,10-12,,1-3,0 - 5
singles,3,919,LEGANES-RIVAS,111,TENIS DE MESA PARLA - DRAGO TT,RUTH OLEA MUÑOZ, 7248,B,AITANA MATELLANES GARCÍA, 14617,Z,,,,,11-9,13-15,11-9,13-11,,3-1,1 - 5
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,MARIA LOPÉZ BERNAL, 17866,A,FANG NING CHEN CHEN, 4855,Y,,,,,11-6,10-12,8-11,11-13,,1-3,0 - 1
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,ALMUDENA FERNANDEZ MORALES, 27381,B,RUTH OLEA MUÑOZ, 7248,X,,,,,6-11,11-5,11-8,11-6,,3-1,1 - 1
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,LAURA GARCIA GARCIA, 21982,C,SILVIA ESCALANTE TORRES, 3507,Z,,,,,11-7,11-8,11-3,,,3-0,2 - 1
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,MARIA LOPÉZ BERNAL, 17866,A,RUTH OLEA MUÑOZ, 7248,X,,,,,7-11,12-10,7-11,11-7,11-7,3-2,3 - 1
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,LAURA GARCIA GARCIA, 21982,C,FANG NING CHEN CHEN, 4855,Y,,,,,11-8,6-11,9-11,12-10,11-7,3-2,4 - 1
singles,5,919,LEGANES-RIVAS,297,C.D. TENIS DE MESA RIVAS,ALMUDENA FERNANDEZ MORALES, 27381,B,SILVIA ESCALANTE TORRES, 3507,Z,,,,,11-2,11-7,13-11,,,3-0,5 - 1
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,ANDREA BENITEZ DE LA FUENTE, 26324,A,FANG NING CHEN CHEN, 4855,Y,,,,,5-11,3-11,6-11,,,0-3,0 - 1
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,IRENE SÁNCHEZ SÁNCHEZ, 21366,B,SILVIA ESCALANTE TORRES, 3507,X,,,,,5-11,9-11,11-9,11-7,10-12,2-3,0 - 2
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,LETY LEYDIS GONZALEZ ATRIO, 34941,C,RUTH OLEA MUÑOZ, 7248,Z,,,,,3-11,11-13,11-3,8-11,,1-3,0 - 3
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,ANDREA BENITEZ DE LA FUENTE, 26324,A,SILVIA ESCALANTE TORRES, 3507,X,,,,,8-11,11-5,11-6,11-3,,3-1,1 - 3
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,LETY LEYDIS GONZALEZ ATRIO, 34941,C,FANG NING CHEN CHEN, 4855,Y,,,,,6-11,11-4,11-13,11-8,11-5,3-2,2 - 3
singles,6,919,LEGANES-RIVAS,20191314,HORTALEZA TM,IRENE SÁNCHEZ SÁNCHEZ, 21366,B,RUTH OLEA MUÑOZ, 7248,Z,,,,,3-11,12-10,11-9,4-11,5-11,2-3,2 - 4
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,FANG NING CHEN CHEN, 4855,A,ANA MARIA VERTIZ PEREZ, 23323,Y,,,,,6-11,6-11,6-11,,,0-3,0 - 1
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,RUTH OLEA MUÑOZ, 7248,B,MARIA ALIA MARIA, 24090,X,,,,,11-7,4-11,11-9,14-16,11-6,3-2,1 - 1
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,SILVIA ESCALANTE TORRES, 3507,C,AITANA MATELLANES GARCÍA, 14617,Z,,,,,7-11,6-11,11-6,1-11,,1-3,1 - 2
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,FANG NING CHEN CHEN, 4855,A,MARIA ALIA MARIA, 24090,X,,,,,11-3,11-6,9-11,11-4,,3-1,2 - 2
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,SILVIA ESCALANTE TORRES, 3507,C,ANA MARIA VERTIZ PEREZ, 23323,Y,,,,,6-11,6-11,8-11,,,0-3,2 - 3
singles,7,111,TENIS DE MESA PARLA - DRAGO TT,919,LEGANES-RIVAS,RUTH OLEA MUÑOZ, 7248,B,AITANA MATELLANES GARCÍA, 14617,Z,,,,,3-11,13-11,3-11,9-11,,1-3,2 - 4
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,FANG NING CHEN CHEN, 4855,A,MIREIA CIFUENTES FERNANDEZ, 8643,Y,,,,,8-11,6-11,8-11,,,0-3,0 - 1
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,RUTH OLEA MUÑOZ, 7248,B,ANGELA RODRÍGUEZ  GARCIA, 19691,X,,,,,5-11,2-11,6-11,,,0-3,0 - 2
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,SILVIA ESCALANTE TORRES, 3507,C,ANA DE LA MATA HERREROS, 20091,Z,,,,,8-11,9-11,6-11,,,0-3,0 - 3
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,FANG NING CHEN CHEN, 4855,A,ANGELA RODRÍGUEZ  GARCIA, 19691,X,,,,,11-8,7-11,9-11,11-6,6-11,2-3,0 - 4
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,SILVIA ESCALANTE TORRES, 3507,C,MIREIA CIFUENTES FERNANDEZ, 8643,Y,,,,,9-11,5-11,6-11,,,0-3,0 - 5
singles,8,919,LEGANES-RIVAS,10203,AD COLLADO MEDIANO  ,RUTH OLEA MUÑOZ, 7248,B,ANA DE LA MATA HERREROS, 20091,Z,,,,,11-9,11-8,11-5,,,3-0,1 - 5
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,ALMUDENA FERNANDEZ MORALES, 27381,A,SILVIA ESCALANTE TORRES, 3507,Y,,,,,11-8,9-11,11-7,11-6,,3-1,1 - 0
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,LAURA GARCIA GARCIA, 21982,B,FANG NING CHEN CHEN, 4855,X,,,,,11-4,6-11,11-8,11-9,,3-1,2 - 0
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,MARIA LOPÉZ BERNAL, 17866,C,RAQUEL PEREZ MATO, 10540,Z,,,,,11-5,11-6,11-4,,,3-0,3 - 0
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,ALMUDENA FERNANDEZ MORALES, 27381,A,FANG NING CHEN CHEN, 4855,X,,,,,2-11,1-11,10-12,,,0-3,3 - 1
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,MARIA LOPÉZ BERNAL, 17866,C,SILVIA ESCALANTE TORRES, 3507,Y,,,,,11-9,11-2,11-4,,,3-0,4 - 1
singles,10,297,C.D. TENIS DE MESA RIVAS,919,LEGANES-RIVAS,LAURA GARCIA GARCIA, 21982,B,RAQUEL PEREZ MATO, 10540,Z,,,,,11-7,11-7,11-7,,,3-0,5 - 1
singles,12,20191314,HORTALEZA TM,919,LEGANES-RIVAS,SILVIA ESCALANTE TORRES, 3507,A,MALAMATENIA PAPADIMITRIOU, 36543,Y,,,,,11-8,9-11,11-8,4-11,7-11,2-3,0 - 1
