Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,2017552,DOC SERVICIOS HISPALIS,1113,BALAGUER PIERA ECOCERAMICA,LUISA ALEJANDRA CARDOZO MENDOZA, 29383 ,A,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,Y,,,,,13-15,3-11,9-11,,,0-3,0 - 1
singles,1,2017552,DOC SERVICIOS HISPALIS,1113,BALAGUER PIERA ECOCERAMICA,MARTA ROMERO SANCHEZ, 9589 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,3-11,1-11,7-11,,,0-3,0 - 2
singles,1,2017552,DOC SERVICIOS HISPALIS,1113,BALAGUER PIERA ECOCERAMICA,LUCIA PEDROSA FERNANDEZ, 21979 ,C,LOREDANA-CARMEN DORCA, 4584 ,Z,,,,,6-11,2-11,4-11,,,0-3,0 - 3
singles,1,2017552,DOC SERVICIOS HISPALIS,1113,BALAGUER PIERA ECOCERAMICA,LUISA ALEJANDRA CARDOZO MENDOZA, 29383 ,A,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,9-11,8-11,8-11,,,0-3,0 - 4
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,A,TIJANA JOKIC, 33821 ,Y,,,,,11-8,7-11,12-10,11-9,,3-1,1 - 0
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,B,ANA RIAZANOVA, 36095 ,X,,,,,4-11,5-11,1-11,,,0-3,1 - 1
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,C,NATALIA MIRAMONTES MORCILO, 16527 ,Z,,,,,11-5,11-9,11-5,,,3-0,2 - 1
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,A,ANA RIAZANOVA, 36095 ,X,,,,,6-11,7-11,5-11,,,0-3,2 - 2
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,C,TIJANA JOKIC, 33821 ,Y,,,,,11-3,12-10,11-7,,,3-0,3 - 2
singles,2,1150,COVICSA-CTT SANTA EULARIA,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,B,NATALIA MIRAMONTES MORCILO, 16527 ,Z,,,,,8-11,10-12,5-11,,,0-3,3 - 3
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,IRINA ERMAKOVA, 29869 ,A,GEMMA LLADONOSA ARRUFAT, 16288 ,Y,,,,,11-6,11-7,11-3,,,3-0,1 - 0
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,LAURA RAMIREZ SANCHEZ, 7134 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,10-12,8-11,4-11,,,0-3,1 - 1
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,PAULA BUENO BUENO, 3909 ,C,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,Z,,,,,3-11,11-9,9-11,6-11,,1-3,1 - 2
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,IRINA ERMAKOVA, 29869 ,A,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,6-11,6-11,6-11,,,0-3,1 - 3
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,PAULA BUENO BUENO, 3909 ,C,GEMMA LLADONOSA ARRUFAT, 16288 ,Y,,,,,11-6,11-4,12-10,,,3-0,2 - 3
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,LAURA RAMIREZ SANCHEZ, 7134 ,B,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,Z,,,,,6-11,9-11,5-11,,,0-3,2 - 4
singles,7,1113,BALAGUER PIERA ECOCERAMICA,9,UCAM CARTAGENA TM,MARIA XIAO YAO, 9486 ,A,LOREDANA-CARMEN DORCA, 4584 ,Y,,,,,11-2,11-1,11-1,,,3-0,1 - 0
singles,7,1113,BALAGUER PIERA ECOCERAMICA,9,UCAM CARTAGENA TM,FEN LI, 34298 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,11-5,6-11,11-7,11-7,,3-1,2 - 0
singles,7,1113,BALAGUER PIERA ECOCERAMICA,9,UCAM CARTAGENA TM,SILVIA ASIS DE SOUZA ERDELJI, 31669 ,C,GEMMA LLADONOSA ARRUFAT, 16288 ,Z,,,,,11-2,11-6,11-4,,,3-0,3 - 0
singles,7,1113,BALAGUER PIERA ECOCERAMICA,9,UCAM CARTAGENA TM,MARIA XIAO YAO, 9486 ,A,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,11-3,8-11,11-7,11-9,,3-1,4 - 0
singles,8,1113,BALAGUER PIERA ECOCERAMICA,1221,VIDRIO SERVICE TM,MARIJA GALONJA, 17113 ,A,LOREDANA-CARMEN DORCA, 4584 ,Y,,,,,11-2,11-4,11-4,,,3-0,1 - 0
singles,8,1113,BALAGUER PIERA ECOCERAMICA,1221,VIDRIO SERVICE TM,SARKAR TAKEME, 35027 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,6-11,4-11,9-11,,,0-3,1 - 1
singles,8,1113,BALAGUER PIERA ECOCERAMICA,1221,VIDRIO SERVICE TM,ANA GARCIA MONTERO, 9863 ,C,GEMMA LLADONOSA ARRUFAT, 16288 ,Z,,,,,11-4,11-4,11-4,,,3-0,2 - 1
singles,8,1113,BALAGUER PIERA ECOCERAMICA,1221,VIDRIO SERVICE TM,MARIJA GALONJA, 17113 ,A,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,7-11,11-7,12-10,11-6,,3-1,3 - 1
