Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,IRINA ERMAKOVA, 29869 ,A,NATALIA MIRAMONTES MORCILO, 16527 ,Y,,,,,11-3,11-5,12-10,,,3-0,1 - 0
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,PAULA BUENO BUENO, 3909 ,B,TIJANA JOKIC, 33821 ,X,,,,,6-11,9-11,8-11,,,0-3,1 - 1
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,MARINA ÑIGUEZ GARCIA, 10564 ,C,ANA RIAZANOVA, 36095 ,Z,,,,,4-11,2-11,9-11,,,0-3,1 - 2
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,IRINA ERMAKOVA, 29869 ,A,TIJANA JOKIC, 33821 ,X,,,,,4-11,4-11,6-11,,,0-3,1 - 3
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,MARINA ÑIGUEZ GARCIA, 10564 ,C,NATALIA MIRAMONTES MORCILO, 16527 ,Y,,,,,11-9,11-4,4-11,11-6,,3-1,2 - 3
singles,1,1150,COVICSA-CTT SANTA EULARIA,664,ALICANTE TM,PAULA BUENO BUENO, 3909 ,B,ANA RIAZANOVA, 36095 ,Z,,,,,7-11,11-6,8-11,10-12,,1-3,2 - 4
singles,2,2017552,DOC SERVICIOS HISPALIS,664,ALICANTE TM,LUCIA PEDROSA FERNANDEZ, 21979 ,A,IRINA ERMAKOVA, 29869 ,Y,,,,,6-11,1-11,7-11,,,0-3,0 - 1
singles,2,2017552,DOC SERVICIOS HISPALIS,664,ALICANTE TM,MARTA ROMERO SANCHEZ, 9589 ,B,LAURA RAMIREZ SANCHEZ, 7134 ,X,,,,,9-11,4-11,9-11,,,0-3,0 - 2
singles,2,2017552,DOC SERVICIOS HISPALIS,664,ALICANTE TM,LUISA ALEJANDRA CARDOZO MENDOZA, 29383 ,C,PAULA BUENO BUENO, 3909 ,Z,,,,,9-11,8-11,11-9,9-11,,1-3,0 - 3
singles,2,2017552,DOC SERVICIOS HISPALIS,664,ALICANTE TM,LUCIA PEDROSA FERNANDEZ, 21979 ,A,LAURA RAMIREZ SANCHEZ, 7134 ,X,,,,,5-11,4-11,11-9,6-11,,1-3,0 - 4
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,IRINA ERMAKOVA, 29869 ,A,GEMMA LLADONOSA ARRUFAT, 16288 ,Y,,,,,11-6,11-7,11-3,,,3-0,1 - 0
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,LAURA RAMIREZ SANCHEZ, 7134 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,10-12,8-11,4-11,,,0-3,1 - 1
singles,6,664,ALICANTE TM,1113,BALAGUER PIERA ECOCERAMICA,PAULA BUENO BUENO, 3909 ,C,NATALYA PROSVIRNINA PROSVIRNINA, 6401 ,Z,,,,,3-11,11-9,9-11,6-11,,1-3,1 - 2
