Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,73,ALICANTE TM,1034,VISIT PONTEVEDRA,"LEE , SEUNGHWAN", 41730 ,A,"VILCHEZ IGLESIAS, MIGUEL ANGEL", 4833 ,Y,,,,,7-11,10-12,7-11,,,0-3,0 - 1
singles,1,73,ALICANTE TM,1034,VISIT PONTEVEDRA,"LILLO BORDAJANDI, DIEGO", 18376 ,B,"COELHO DA SILVA , ANDRE FILIPE", 22020 ,X,,,,,4-11,8-11,9-11,,,0-3,0 - 2
singles,1,73,ALICANTE TM,1034,VISIT PONTEVEDRA,"MIRO LLORENTE, MARC", 18421 ,C,"BENTANCOR FERNANDEZ, MARTIN SEBASTIAN", 32709 ,Z,,,,,4-11,4-11,6-11,,,0-3,0 - 3
singles,1,73,ALICANTE TM,1034,VISIT PONTEVEDRA,"LEE , SEUNGHWAN", 41730 ,A,"COELHO DA SILVA , ANDRE FILIPE", 22020 ,X,,,,,6-11,11-8,11-4,9-11,14-16,2-3,0 - 4
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"ERIKSSON , ANDERS BERTIL", 31411 ,A,"MIRO LLORENTE, MARC", 18421 ,Y,,,,,11-7,18-16,11-9,,,3-0,1 - 0
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"SHI TIAN, WEIDONG", 1704 ,B,"LEE , SEUNGHWAN", 41730 ,X,,,,,11-7,11-3,11-6,,,3-0,2 - 0
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"AYUSO SERRA, ANGEL", 18334 ,C,"GÜNDÜZ , IBRAHIM", 41731 ,Z,,,,,13-11,8-11,1-11,11-4,9-11,2-3,2 - 1
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"ERIKSSON , ANDERS BERTIL", 31411 ,A,"LEE , SEUNGHWAN", 41730 ,X,,,,,5-11,12-10,2-11,5-11,,1-3,2 - 2
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"AYUSO SERRA, ANGEL", 18334 ,C,"MIRO LLORENTE, MARC", 18421 ,Y,,,,,9-11,11-7,11-9,10-12,9-11,2-3,2 - 3
singles,2,56,COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,73,ALICANTE TM,"SHI TIAN, WEIDONG", 1704 ,B,"GÜNDÜZ , IBRAHIM", 41731 ,Z,,,,,7-11,11-4,8-11,11-7,8-11,2-3,2 - 4
singles,3,73,ALICANTE TM,23,C.E.R. ROBIN HAT PRISCO L´ESCALA,"GRELA , ARTUR TOMASZ", 38435 ,A,"LILLO BORDAJANDI, DIEGO", 18376 ,Y,,,,,9-11,9-11,4-11,,,0-3,0 - 1
