Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"SEBASTIAN ESCOLANO, RAUL", 22728,A,"GOMEZ SANDONIS, DANIEL", 10198,Y,,,,,13-11,11-8,11-7,,,3-0,1 - 0
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"ASENSIO TEIXEIRA, OBED", 31496,B,"ZABALLOS GALAN, MIGUEL", 23393,X,,,,,9-11,9-11,7-11,,,0-3,1 - 1
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"SANCHEZ ESPINOSA, MARCO ANTONIO", 42110,C,"MURIEL URIBE, JULIAN DAVID", 33728,Z,,,,,11-7,11-13,11-2,11-6,,3-1,2 - 1
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"SEBASTIAN ESCOLANO, RAUL", 22728,A,"ZABALLOS GALAN, MIGUEL", 23393,X,,,,,7-11,9-11,4-11,,,0-3,2 - 2
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"SANCHEZ ESPINOSA, MARCO ANTONIO", 42110,C,"GOMEZ SANDONIS, DANIEL", 10198,Y,,,,,7-11,9-11,11-5,11-9,11-6,3-2,3 - 2
singles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,"ASENSIO TEIXEIRA, OBED", 31496,B,"MURIEL URIBE, JULIAN DAVID", 33728,Z,,,,,7-11,5-11,5-11,,,0-3,3 - 3
doubles,1,20233037,BOADILLA TENIS MESA TERESA BERGANZA,285,SAN SEBASTIAN DE LOS REYES,,,D,,,D,"ASENSIO TEIXEIRA, OBED",31496,"SANCHEZ ESPINOSA, MARCO ANTONIO",42110,10-12,8-11,10-12,,,0-3,3 - 4
singles,2,285,SAN SEBASTIAN DE LOS REYES,20191584,CTM TENEGUIA,"VANEGAS MEDINA, LUIS MIGUEL", 42124,A,"SEBASTIAN ESCOLANO, RAUL", 22728,Y,,,,,19-17,11-3,11-3,,,3-0,1 - 0
singles,2,285,SAN SEBASTIAN DE LOS REYES,20191584,CTM TENEGUIA,"ALCUTEN FERNANDEZ DE OLANO, ARKAITZ", 21730,B,"ASENSIO TEIXEIRA, OBED", 31496,X,,,,,11-5,13-11,11-9,,,3-0,2 - 0
singles,2,285,SAN SEBASTIAN DE LOS REYES,20191584,CTM TENEGUIA,"GARCIA PEREZ, IVAN", 4779,C,"SANCHEZ ESPINOSA, MARCO ANTONIO", 42110,Z,,,,,5-11,2-11,2-11,,,0-3,2 - 1
