jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,29/09/2018,09:30,NOROESTE - LAS ROZAS,A.D. COLLADO MEDIANO,1,5,,
Jornada 1,29/09/2018,16:00,C.D. TENIS DE MESA RIVAS,A.D.T.M. LEGANES,0,6,,
Jornada 1,29/09/2018,17:00,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,CORTIJO LA MATANZA LA ZUBIA,4,2,,
Jornada 1,29/09/2018,17:00,ASSSA ALICANTE TM,CTM MURCIA DEICOMUR,4,2,,
Jornada 1,30/09/2018,11:30,CLUB TENIS DE MESA MÓSTOLES,SAN SEBASTIAN DE LOS REYES,5,1,,
Jornada 2,06/10/2018,17:00,SAN SEBASTIAN DE LOS REYES,C.D. TENIS DE MESA RIVAS,1,5,,
Jornada 2,06/10/2018,17:00,IMATEC GABINETES RADIOLOGICOS CARTAGENA,CTM MURCIA DEICOMUR,4,3,,
Jornada 2,06/10/2018,17:30,A.D. COLLADO MEDIANO,A.D.T.M. LEGANES,2,4,,
Jornada 2,07/10/2018,11:30,CLUB TENIS DE MESA MÓSTOLES,NOROESTE - LAS ROZAS,4,3,,
Jornada 2,07/10/2018,12:00,FUNDACION CAJASOL HISPALIS,CORTIJO LA MATANZA LA ZUBIA,6,0,,
Jornada 3,13/10/2018,11:00,IMATEC GABINETES RADIOLOGICOS CARTAGENA,CLUB TENIS DE MESA MÓSTOLES,4,2,,
Jornada 3,13/10/2018,11:00,SAN SEBASTIAN DE LOS REYES,FUNDACION CAJASOL HISPALIS,5,1,,
Jornada 3,13/10/2018,16:00,C.D. TENIS DE MESA RIVAS,FUNDACION CAJASOL HISPALIS,2,4,,
Jornada 3,13/10/2018,17:30,A.D. COLLADO MEDIANO,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,1,5,,
Jornada 3,13/10/2018,18:00,ASSSA ALICANTE TM,CLUB TENIS DE MESA MÓSTOLES,4,2,,
Jornada 3,14/10/2018,11:00,NOROESTE - LAS ROZAS,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,2,4,,
Jornada 3,14/10/2018,11:00,CTM MURCIA DEICOMUR,CLUB TENIS DE MESA MÓSTOLES,3,4,,
Jornada 3,14/10/2018,12:00,A.D.T.M. LEGANES,FUNDACION CAJASOL HISPALIS,4,2,,
Jornada 4,20/10/2018,11:00,CORTIJO LA MATANZA LA ZUBIA,ASSSA ALICANTE TM,2,4,,
Jornada 4,20/10/2018,16:00,NOROESTE - LAS ROZAS,SAN SEBASTIAN DE LOS REYES,2,4,,
Jornada 4,20/10/2018,17:00,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,ASSSA ALICANTE TM,2,4,,
Jornada 4,20/10/2018,17:30,A.D. COLLADO MEDIANO,CLUB TENIS DE MESA MÓSTOLES,2,4,,
Jornada 4,21/10/2018,12:00,FUNDACION CAJASOL HISPALIS,ASSSA ALICANTE TM,2,4,,
Jornada 4,01/12/2018,20:00,A.D.T.M. LEGANES,CTM MURCIA DEICOMUR,2,4,,
Jornada 4,02/12/2018,11:00,C.D. TENIS DE MESA RIVAS,CTM MURCIA DEICOMUR,2,4,,
Jornada 5,27/10/2018,17:00,SAN SEBASTIAN DE LOS REYES,A.D.T.M. LEGANES,3,4,,
Jornada 5,27/10/2018,19:00,IMATEC GABINETES RADIOLOGICOS CARTAGENA,A.D. COLLADO MEDIANO,4,3,,
Jornada 5,28/10/2018,10:30,CTM MURCIA DEICOMUR,A.D. COLLADO MEDIANO,4,2,,
Jornada 5,28/10/2018,11:30,CLUB TENIS DE MESA MÓSTOLES,C.D. TENIS DE MESA RIVAS,4,3,,
Jornada 5,28/10/2018,12:00,FUNDACION CAJASOL HISPALIS,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,4,2,,
Jornada 6,27/10/2018,10:30,IMATEC GABINETES RADIOLOGICOS CARTAGENA,NOROESTE - LAS ROZAS,4,3,,
Jornada 6,27/10/2018,17:00,CTM MURCIA DEICOMUR,NOROESTE - LAS ROZAS,4,2,,
Jornada 6,10/11/2018,17:00,CLUB DEPORTIVO HUETOR VEGA TENIS DE MESA,C.D. TENIS DE MESA RIVAS,4,2,,
Jornada 6,11/11/2018,11:00,CORTIJO LA MATANZA LA ZUBIA,C.D. TENIS DE MESA RIVAS,4,3,,
