jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,29/09/2018,11:00,LINARED INFORMATICA LINARES,CIUDAD DE GRANADA,4,3,,
Jornada 1,29/09/2018,17:00,CLUB SHERRY TM,CLUB TENIS-MESA CHICLANA-TURBOCÁDIZ,2,4,,
Jornada 1,29/09/2018,18:00,EXTREMADURA TM ALMENDRALEJO,ANCARPE  CORDOBA-81,5,1,,
Jornada 1,29/09/2018,19:00,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,HISPALIS,1,5,,
Jornada 1,30/09/2018,12:00,SEGUROS JAVIER CASTILLO BAZA,CTM HUERCAL-VICAR,2,4,,
Jornada 2,06/10/2018,11:00,CONSERVAS LOLA,CLUB SHERRY TM,4,3,,
Jornada 2,06/10/2018,18:00,EXTREMADURA TM ALMENDRALEJO,CLUB SHERRY TM,4,3,,
Jornada 2,06/10/2018,18:00,CIUDAD DE GRANADA,SEGUROS JAVIER CASTILLO BAZA,1,5,,
Jornada 2,07/10/2018,11:00,CLUB TENIS-MESA CHICLANA-TURBOCÁDIZ,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,2,4,,
Jornada 3,13/10/2018,12:00,SEGUROS JAVIER CASTILLO BAZA,EXTREMADURA TM ALMENDRALEJO,6,0,,
Jornada 3,13/10/2018,16:00,HISPALIS,CONSERVAS LOLA,6,0,,
Jornada 3,13/10/2018,17:00,CLUB SHERRY TM,LINARED INFORMATICA LINARES,5,1,,
Jornada 3,13/10/2018,18:00,ANCARPE  CORDOBA-81,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,1,5,,
Jornada 3,13/10/2018,18:00,CIUDAD DE GRANADA,EXTREMADURA TM ALMENDRALEJO,6,0,,
Jornada 3,14/10/2018,11:00,CTM HUERCAL-VICAR,EXTREMADURA TM ALMENDRALEJO,6,0,,
Jornada 3,14/10/2018,11:00,CLUB TENIS-MESA CHICLANA-TURBOCÁDIZ,LINARED INFORMATICA LINARES,2,4,,
Jornada 4,20/10/2018,11:30,CIUDAD DE GRANADA,ANCARPE  CORDOBA-81,6,0,,
Jornada 4,20/10/2018,16:00,HISPALIS,CLUB TENIS-MESA CHICLANA-TURBOCÁDIZ,5,1,,
Jornada 4,20/10/2018,17:00,LINARED INFORMATICA LINARES,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,4,2,,
Jornada 4,20/10/2018,18:00,EXTREMADURA TM ALMENDRALEJO,CONSERVAS LOLA,0,6,,
Jornada 5,27/10/2018,17:00,CLUB SHERRY TM,CIUDAD DE GRANADA,2,4,,
Jornada 5,27/10/2018,18:00,ANCARPE  CORDOBA-81,CTM HUERCAL-VICAR,0,6,,
Jornada 5,27/10/2018,18:00,EXTREMADURA TM ALMENDRALEJO,HISPALIS,0,6,,
Jornada 5,27/10/2018,19:00,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,SEGUROS JAVIER CASTILLO BAZA,1,5,,
