jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,19/10/2019,15:00,VILABLAREIX - ESPARRAGUERA,CLUB TENNIS TAULA ELS AMICS TERRASSA,4,2,,
Jornada 1,19/10/2019,15:00,TENNIS TAULA CASSÀ,CLUB NATACIÓ SABADELL,4,2,,
Jornada 1,19/10/2019,15:00,CLUB TENNIS TAULA BASCARA,UE SANT CUGAT,2,4,,
Jornada 1,19/10/2019,17:30,VILABLAREIX - ESPARRAGUERA,CLUB NATACIÓ SABADELL,3,4,,
Jornada 1,19/10/2019,17:30,TENNIS TAULA CASSÀ,CLUB TENNIS TAULA ELS AMICS TERRASSA,6,0,,
Jornada 1,19/10/2019,17:30,CLUB TENNIS TAULA BASCARA,CAN MARIO'S BADALONA,2,4,,
Jornada 1,19/10/2019,18:00,AURA ENERGÍA-REUS,BALAGUER - CUDOS CONSULTORS,5,1,,
Jornada 1,20/10/2019,10:00,CLUB TENNIS TAULA BASCARA,CLUB NATACIÓ SABADELL,4,3,,
Jornada 1,20/10/2019,10:00,VILABLAREIX - ESPARRAGUERA,CAN MARIO'S BADALONA,4,2,,
Jornada 1,20/10/2019,10:00,TENNIS TAULA CASSÀ,UE SANT CUGAT,1,5,,
Jornada 1,20/10/2019,12:30,TENNIS TAULA CASSÀ,CAN MARIO'S BADALONA,4,2,,
Jornada 1,20/10/2019,12:30,CLUB TENNIS TAULA BASCARA,CLUB TENNIS TAULA ELS AMICS TERRASSA,4,2,,
Jornada 1,20/10/2019,12:30,VILABLAREIX - ESPARRAGUERA,UE SANT CUGAT,0,6,,
Jornada 2,23/11/2019,11:00,VILABLAREIX - ESPARRAGUERA,TENNIS TAULA CASSÀ,2,4,,
Jornada 2,23/11/2019,16:00,CLUB NATACIÓ SABADELL,BALAGUER - CUDOS CONSULTORS,4,3,,
Jornada 2,23/11/2019,16:00,CLUB TENNIS TAULA ELS AMICS TERRASSA,AURA ENERGÍA-REUS,5,1,,
Jornada 2,23/11/2019,16:00,CAN MARIO'S BADALONA,C.T.T. MEDITERRANEO-VALENCIA,2,4,,
Jornada 2,23/11/2019,16:00,TENNIS TAULA CASSÀ,CLUB TENNIS TAULA BASCARA,5,1,,
Jornada 2,23/11/2019,18:30,CLUB TENNIS TAULA ELS AMICS TERRASSA,BALAGUER - CUDOS CONSULTORS,2,4,,
Jornada 2,23/11/2019,18:30,CAN MARIO'S BADALONA,AURA ENERGÍA-REUS,5,1,,
Jornada 2,23/11/2019,18:30,UE SANT CUGAT,C.T.T. MEDITERRANEO-VALENCIA,6,0,,
Jornada 2,23/11/2019,18:30,CLUB TENNIS TAULA BASCARA,VILABLAREIX - ESPARRAGUERA,5,1,,
Jornada 2,24/11/2019,10:00,CLUB NATACIÓ SABADELL,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 2,24/11/2019,10:00,CAN MARIO'S BADALONA,BALAGUER - CUDOS CONSULTORS,3,4,,
Jornada 2,24/11/2019,10:00,UE SANT CUGAT,AURA ENERGÍA-REUS,6,0,,
Jornada 2,24/11/2019,12:30,CLUB NATACIÓ SABADELL,AURA ENERGÍA-REUS,4,3,,
Jornada 2,24/11/2019,12:30,CLUB TENNIS TAULA ELS AMICS TERRASSA,C.T.T. MEDITERRANEO-VALENCIA,4,3,,
Jornada 2,24/11/2019,12:30,UE SANT CUGAT,BALAGUER - CUDOS CONSULTORS,5,1,,
Jornada 3,14/12/2019,11:00,CLUB NATACIÓ SABADELL,UE SANT CUGAT,4,3,,
Jornada 3,14/12/2019,11:00,CLUB TENNIS TAULA ELS AMICS TERRASSA,CAN MARIO'S BADALONA,4,3,,
Jornada 3,14/12/2019,12:00,C.T.T. MEDITERRANEO-VALENCIA,AURA ENERGÍA-REUS,2,4,,
Jornada 3,14/12/2019,16:00,UE SANT CUGAT,CAN MARIO'S BADALONA,5,1,,
Jornada 3,14/12/2019,16:00,CLUB NATACIÓ SABADELL,CLUB TENNIS TAULA ELS AMICS TERRASSA,4,3,,
Jornada 3,14/12/2019,16:00,VILABLAREIX - ESPARRAGUERA,BALAGUER - CUDOS CONSULTORS,1,5,,
Jornada 3,14/12/2019,16:00,TENNIS TAULA CASSÀ,AURA ENERGÍA-REUS,3,4,,
Jornada 3,14/12/2019,16:00,CLUB TENNIS TAULA BASCARA,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 3,14/12/2019,18:30,UE SANT CUGAT,CLUB TENNIS TAULA ELS AMICS TERRASSA,5,1,,
Jornada 3,14/12/2019,18:30,CAN MARIO'S BADALONA,CLUB NATACIÓ SABADELL,3,4,,
Jornada 3,14/12/2019,18:30,VILABLAREIX - ESPARRAGUERA,AURA ENERGÍA-REUS,1,5,,
Jornada 3,14/12/2019,18:30,TENNIS TAULA CASSÀ,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 3,14/12/2019,18:30,CLUB TENNIS TAULA BASCARA,BALAGUER - CUDOS CONSULTORS,4,2,,
