jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,15/10/2021,20:00,GIRBAU VIC T.T.,UCAM CARTAGENA TM,1,4,,
Jornada 1,16/10/2021,11:00,TENNIS TAULA TRAMUNTANA FIGUERES,MUSEO DE LA ALMENDRA FRANCISCO MORALES,4,2,,
Jornada 1,16/10/2021,12:00,CLUB TENIS DE MESA VEGAS DEL GENIL,TECNIGEN LINARES,1,4,,
Jornada 2,12/11/2021,19:00,UCAM CARTAGENA TM,TENNIS TAULA TRAMUNTANA FIGUERES,4,1,,
Jornada 2,12/11/2021,20:00,CLUB TENIS DE MESA VEGAS DEL GENIL,GIRBAU VIC T.T.,1,4,,
Jornada 2,13/11/2021,11:30,TECNIGEN LINARES,MUSEO DE LA ALMENDRA FRANCISCO MORALES,4,1,,
Jornada 3,15/11/2021,19:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,UCAM CARTAGENA TM,0,4,,
Jornada 3,19/11/2021,20:00,GIRBAU VIC T.T.,TECNIGEN LINARES,4,2,,
Jornada 3,20/11/2021,11:00,TENNIS TAULA TRAMUNTANA FIGUERES,CLUB TENIS DE MESA VEGAS DEL GENIL,4,0,,
Jornada 4,27/11/2021,12:00,CLUB TENIS DE MESA VEGAS DEL GENIL,MUSEO DE LA ALMENDRA FRANCISCO MORALES,0,4,,
Jornada 4,01/12/2021,18:00,TECNIGEN LINARES,UCAM CARTAGENA TM,1,4,,
Jornada 4,03/12/2021,20:00,GIRBAU VIC T.T.,TENNIS TAULA TRAMUNTANA FIGUERES,3,4,,
Jornada 5,17/12/2021,19:00,UCAM CARTAGENA TM,CLUB TENIS DE MESA VEGAS DEL GENIL,4,3,,
Jornada 5,18/12/2021,11:00,TENNIS TAULA TRAMUNTANA FIGUERES,TECNIGEN LINARES,3,4,,
Jornada 5,18/12/2021,11:30,MUSEO DE LA ALMENDRA FRANCISCO MORALES,GIRBAU VIC T.T.,0,4,,
Jornada 6,07/01/2022,19:00,UCAM CARTAGENA TM,GIRBAU VIC T.T.,4,0,,
Jornada 6,08/01/2022,11:30,TECNIGEN LINARES,CLUB TENIS DE MESA VEGAS DEL GENIL,4,1,,
Jornada 6,08/01/2022,11:30,MUSEO DE LA ALMENDRA FRANCISCO MORALES,TENNIS TAULA TRAMUNTANA FIGUERES,4,1,,
Jornada 7,14/01/2022,20:00,GIRBAU VIC T.T.,CLUB TENIS DE MESA VEGAS DEL GENIL,4,0,,
Jornada 7,15/01/2022,11:30,MUSEO DE LA ALMENDRA FRANCISCO MORALES,TECNIGEN LINARES,2,4,,
Jornada 7,23/01/2022,11:00,TENNIS TAULA TRAMUNTANA FIGUERES,UCAM CARTAGENA TM,0,4,,
Jornada 8,28/01/2022,19:00,UCAM CARTAGENA TM,MUSEO DE LA ALMENDRA FRANCISCO MORALES,3,4,,
Jornada 8,29/01/2022,11:30,TECNIGEN LINARES,GIRBAU VIC T.T.,4,1,,
Jornada 8,29/01/2022,12:00,CLUB TENIS DE MESA VEGAS DEL GENIL,TENNIS TAULA TRAMUNTANA FIGUERES,3,4,,
Jornada 9,04/02/2022,19:00,UCAM CARTAGENA TM,TECNIGEN LINARES,4,0,,
Jornada 9,05/02/2022,11:00,TENNIS TAULA TRAMUNTANA FIGUERES,GIRBAU VIC T.T.,2,4,,
Jornada 9,05/02/2022,11:30,MUSEO DE LA ALMENDRA FRANCISCO MORALES,CLUB TENIS DE MESA VEGAS DEL GENIL,4,0,,
Jornada 10,11/02/2022,20:00,GIRBAU VIC T.T.,MUSEO DE LA ALMENDRA FRANCISCO MORALES,4,2,,
Jornada 10,12/02/2022,11:30,TECNIGEN LINARES,TENNIS TAULA TRAMUNTANA FIGUERES,4,3,,
Jornada 10,12/02/2022,12:00,CLUB TENIS DE MESA VEGAS DEL GENIL,UCAM CARTAGENA TM,1,4,,
