jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,30/09/2023,17:00,CTM ALCALÁ TRÉBOL MODA,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 1,30/09/2023,17:00,INDIANA GAMES LINARES,TECNIGEN LINARES,5,1,,
Jornada 1,30/09/2023,17:30,SON CLADERA TTC,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 1,01/10/2023,12:00,HUJASE JAÉN AUTÉNTICA,MUSEO DE LA ALMENDRA FRANCISCO MORALES,3,4,,
Jornada 2,07/10/2023,17:00,C.T.T. MEDITERRANEO-VALENCIA,TECNIGEN LINARES,4,2,,
Jornada 2,08/10/2023,10:00,COVICSA-CTT SANTA EULARIA,SON CLADERA TTC,4,2,,
Jornada 2,08/10/2023,11:00,CTM ALCALÁ TRÉBOL MODA,C.T.M. JEREZ,5,1,,
Jornada 3,14/10/2023,17:00,TECNIGEN LINARES,HUJASE JAÉN AUTÉNTICA,4,3,,
Jornada 3,14/10/2023,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,INDIANA GAMES LINARES,5,1,,
Jornada 3,15/10/2023,11:00,CD NERVION TENIS DE MESA CITY,SON CLADERA TTC,0,6,,
Jornada 4,21/10/2023,17:00,TECNIGEN LINARES,CTM ALCALÁ TRÉBOL MODA,2,4,,
Jornada 4,21/10/2023,17:00,C.T.M. JEREZ,MUSEO DE LA ALMENDRA FRANCISCO MORALES,3,4,,
Jornada 4,21/10/2023,17:30,SON CLADERA TTC,HUJASE JAÉN AUTÉNTICA,4,2,,
Jornada 4,22/10/2023,10:00,COVICSA-CTT SANTA EULARIA,C.T.T. MEDITERRANEO-VALENCIA,5,1,,
Jornada 4,22/10/2023,11:00,CD NERVION TENIS DE MESA CITY,INDIANA GAMES LINARES,1,5,,
Jornada 5,28/10/2023,17:00,C.T.M. JEREZ,COVICSA-CTT SANTA EULARIA,5,1,,
Jornada 5,28/10/2023,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,SON CLADERA TTC,4,2,,
Jornada 5,29/10/2023,11:00,CD NERVION TENIS DE MESA CITY,COVICSA-CTT SANTA EULARIA,0,6,,
Jornada 5,29/10/2023,12:00,HUJASE JAÉN AUTÉNTICA,CTM ALCALÁ TRÉBOL MODA,2,4,,
Jornada 6,11/11/2023,17:00,TECNIGEN LINARES,C.T.M. JEREZ,0,6,,
Jornada 6,11/11/2023,17:00,C.T.T. MEDITERRANEO-VALENCIA,CTM ALCALÁ TRÉBOL MODA,2,4,,
Jornada 6,11/11/2023,17:30,SON CLADERA TTC,INDIANA GAMES LINARES,1,5,,
Jornada 6,12/11/2023,10:00,COVICSA-CTT SANTA EULARIA,INDIANA GAMES LINARES,3,4,,
Jornada 6,12/11/2023,12:00,HUJASE JAÉN AUTÉNTICA,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 7,18/11/2023,17:00,INDIANA GAMES LINARES,HUJASE JAÉN AUTÉNTICA,2,4,,
Jornada 7,18/11/2023,17:00,C.T.M. JEREZ,C.T.T. MEDITERRANEO-VALENCIA,6,0,,
Jornada 7,18/11/2023,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,COVICSA-CTT SANTA EULARIA,2,4,,
Jornada 7,19/11/2023,11:00,CTM ALCALÁ TRÉBOL MODA,COVICSA-CTT SANTA EULARIA,2,4,,
Jornada 7,19/11/2023,11:00,CD NERVION TENIS DE MESA CITY,C.T.T. MEDITERRANEO-VALENCIA,2,4,,
Jornada 8,25/11/2023,17:00,CTM ALCALÁ TRÉBOL MODA,MUSEO DE LA ALMENDRA FRANCISCO MORALES,2,4,,
Jornada 8,25/11/2023,17:30,SON CLADERA TTC,TECNIGEN LINARES,4,3,,
Jornada 8,25/11/2023,18:30,C.T.T. MEDITERRANEO-VALENCIA,INDIANA GAMES LINARES,1,5,,
Jornada 8,26/11/2023,10:00,COVICSA-CTT SANTA EULARIA,TECNIGEN LINARES,2,4,,
Jornada 8,26/11/2023,11:00,CD NERVION TENIS DE MESA CITY,C.T.M. JEREZ,2,4,,
Jornada 9,02/12/2023,17:00,CTM ALCALÁ TRÉBOL MODA,SON CLADERA TTC,2,4,,
Jornada 9,02/12/2023,17:00,INDIANA GAMES LINARES,C.T.M. JEREZ,2,4,,
Jornada 9,02/12/2023,17:00,TECNIGEN LINARES,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 9,02/12/2023,17:00,C.T.T. MEDITERRANEO-VALENCIA,MUSEO DE LA ALMENDRA FRANCISCO MORALES,1,5,,
Jornada 9,03/12/2023,12:00,HUJASE JAÉN AUTÉNTICA,C.T.M. JEREZ,2,4,,
Jornada 10,16/12/2023,17:00,INDIANA GAMES LINARES,CTM ALCALÁ TRÉBOL MODA,4,2,,
Jornada 10,16/12/2023,17:00,C.T.T. MEDITERRANEO-VALENCIA,HUJASE JAÉN AUTÉNTICA,2,4,,
Jornada 10,16/12/2023,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,CD NERVION TENIS DE MESA CITY,4,2,,
Jornada 11,13/01/2024,17:00,C.T.M. JEREZ,SON CLADERA TTC,5,1,,
Jornada 11,13/01/2024,17:00,TECNIGEN LINARES,MUSEO DE LA ALMENDRA FRANCISCO MORALES,1,5,,
Jornada 11,14/01/2024,10:00,COVICSA-CTT SANTA EULARIA,HUJASE JAÉN AUTÉNTICA,4,3,,
Jornada 12,20/01/2024,17:00,C.T.T. MEDITERRANEO-VALENCIA,SON CLADERA TTC,4,3,,
Jornada 12,20/01/2024,17:00,INDIANA GAMES LINARES,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 12,20/01/2024,17:00,C.T.M. JEREZ,CTM ALCALÁ TRÉBOL MODA,4,2,,
Jornada 12,21/01/2024,12:00,HUJASE JAÉN AUTÉNTICA,TECNIGEN LINARES,2,4,,
Jornada 13,27/01/2024,17:00,CTM ALCALÁ TRÉBOL MODA,TECNIGEN LINARES,4,3,,
Jornada 13,27/01/2024,17:00,C.T.M. JEREZ,INDIANA GAMES LINARES,2,4,,
Jornada 13,27/01/2024,17:30,SON CLADERA TTC,CD NERVION TENIS DE MESA CITY,6,0,,
Jornada 13,27/01/2024,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,HUJASE JAÉN AUTÉNTICA,6,0,,
Jornada 13,28/01/2024,10:00,COVICSA-CTT SANTA EULARIA,CD NERVION TENIS DE MESA CITY,6,0,,
Jornada 14,03/02/2024,17:00,INDIANA GAMES LINARES,SON CLADERA TTC,5,1,,
Jornada 14,03/02/2024,17:00,CTM ALCALÁ TRÉBOL MODA,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 14,04/02/2024,10:30,HUJASE JAÉN AUTÉNTICA,SON CLADERA TTC,2,4,,
Jornada 14,04/02/2024,11:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,C.T.T. MEDITERRANEO-VALENCIA,4,3,,
Jornada 15,03/02/2024,11:00,INDIANA GAMES LINARES,MUSEO DE LA ALMENDRA FRANCISCO MORALES,4,3,,
Jornada 15,10/02/2024,17:30,SON CLADERA TTC,COVICSA-CTT SANTA EULARIA,4,2,,
Jornada 15,10/02/2024,18:00,C.T.T. MEDITERRANEO-VALENCIA,C.T.M. JEREZ,5,1,,
Jornada 15,11/02/2024,11:00,CD NERVION TENIS DE MESA CITY,TECNIGEN LINARES,1,5,,
Jornada 16,17/02/2024,10:30,TECNIGEN LINARES,SON CLADERA TTC,3,4,,
Jornada 16,17/02/2024,17:00,CTM ALCALÁ TRÉBOL MODA,HUJASE JAÉN AUTÉNTICA,1,5,,
Jornada 16,18/02/2024,10:00,COVICSA-CTT SANTA EULARIA,C.T.M. JEREZ,4,2,,
Jornada 17,09/03/2024,11:00,INDIANA GAMES LINARES,COVICSA-CTT SANTA EULARIA,4,2,,
Jornada 17,09/03/2024,17:00,TECNIGEN LINARES,COVICSA-CTT SANTA EULARIA,1,5,,
Jornada 17,09/03/2024,17:00,C.T.T. MEDITERRANEO-VALENCIA,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 17,09/03/2024,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,CTM ALCALÁ TRÉBOL MODA,4,2,,
Jornada 17,10/03/2024,11:00,HUJASE JAÉN AUTÉNTICA,COVICSA-CTT SANTA EULARIA,2,4,,
Jornada 18,16/03/2024,17:00,C.T.M. JEREZ,HUJASE JAÉN AUTÉNTICA,6,0,,
Jornada 18,16/03/2024,17:00,CTM ALCALÁ TRÉBOL MODA,INDIANA GAMES LINARES,0,6,,
Jornada 18,16/03/2024,17:30,SON CLADERA TTC,MUSEO DE LA ALMENDRA FRANCISCO MORALES,0,6,,
Jornada 18,17/03/2024,10:00,COVICSA-CTT SANTA EULARIA,MUSEO DE LA ALMENDRA FRANCISCO MORALES,1,5,,
Jornada 19,06/04/2024,11:00,TECNIGEN LINARES,C.T.T. MEDITERRANEO-VALENCIA,2,4,,
Jornada 19,06/04/2024,17:00,INDIANA GAMES LINARES,C.T.T. MEDITERRANEO-VALENCIA,4,2,,
Jornada 19,06/04/2024,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,C.T.M. JEREZ,4,3,,
Jornada 19,07/04/2024,11:00,CD NERVION TENIS DE MESA CITY,CTM ALCALÁ TRÉBOL MODA,1,5,,
Jornada 19,07/04/2024,12:00,HUJASE JAÉN AUTÉNTICA,C.T.T. MEDITERRANEO-VALENCIA,3,4,,
Jornada 20,20/04/2024,17:00,C.T.T. MEDITERRANEO-VALENCIA,COVICSA-CTT SANTA EULARIA,0,6,,
Jornada 20,20/04/2024,17:00,TECNIGEN LINARES,INDIANA GAMES LINARES,6,0,,
Jornada 20,20/04/2024,17:30,SON CLADERA TTC,C.T.M. JEREZ,4,3,,
Jornada 20,21/04/2024,11:00,CD NERVION TENIS DE MESA CITY,HUJASE JAÉN AUTÉNTICA,4,3,,
Jornada 21,27/04/2024,17:00,C.T.M. JEREZ,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 21,27/04/2024,18:00,MUSEO DE LA ALMENDRA FRANCISCO MORALES,TECNIGEN LINARES,6,0,,
Jornada 21,28/04/2024,10:00,COVICSA-CTT SANTA EULARIA,CTM ALCALÁ TRÉBOL MODA,2,4,,
Jornada 22,04/05/2024,17:00,C.T.M. JEREZ,TECNIGEN LINARES,4,3,,
Jornada 22,04/05/2024,17:30,SON CLADERA TTC,CTM ALCALÁ TRÉBOL MODA,2,4,,
Jornada 22,05/05/2024,11:00,CD NERVION TENIS DE MESA CITY,MUSEO DE LA ALMENDRA FRANCISCO MORALES,2,4,,
Jornada 22,05/05/2024,12:00,HUJASE JAÉN AUTÉNTICA,INDIANA GAMES LINARES,3,4,,
