jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,27/09/2024,17:00,CLUB TENIS DE MESA ACOROMA,C.T.M. ACOROMA DE CANDELARIA,0,6,,
Jornada 1,28/09/2024,12:00,ARUCAS TENIS DE MESA,JUVENTUD TENIS DE MESA,4,2,,
Jornada 1,28/09/2024,16:00,TENIS DE MESA DEFENSE REKLUTA,T.M.DEFENSE CAFE DE DON MANUEL,0,6,,
Jornada 1,28/09/2024,17:00,CIRCULO DE AMISTAD-TENERIFE,GRATEME TENERIFE SUR,6,0,,
Jornada 1,28/09/2024,17:00,CD DEDALOS TM SANTA CRUZ,C.D. TENIS DE MESA TEMEGUESTE,4,2,,
Jornada 1,29/09/2024,11:00,CTM TABOR ARAFO,CLUB TENIS DE MESA TABOR AÑAVINGO,0,6,,
Jornada 2,05/10/2024,11:00,C.T.M. ACOROMA DE CANDELARIA,JUVENTUD TENIS DE MESA,3,4,,
Jornada 2,05/10/2024,11:30,CTM TABOR ARAFO,ARUCAS TENIS DE MESA,4,2,,
Jornada 2,05/10/2024,16:00,CLUB TENIS DE MESA ACOROMA,JUVENTUD TENIS DE MESA,2,4,,
Jornada 2,05/10/2024,17:00,CD DEDALOS TM SANTA CRUZ,CLUB TENIS DE MESA TABOR AÑAVINGO,1,5,,
Jornada 2,06/10/2024,11:00,C.D. TENIS DE MESA TEMEGUESTE,CIRCULO DE AMISTAD-TENERIFE,2,4,,
Jornada 3,12/10/2024,11:00,T.M.DEFENSE CAFE DE DON MANUEL,GRATEME TENERIFE SUR,2,4,,
Jornada 3,12/10/2024,11:00,CIRCULO DE AMISTAD-TENERIFE,CD DEDALOS TM SANTA CRUZ,4,2,,
Jornada 3,12/10/2024,16:00,TENIS DE MESA DEFENSE REKLUTA,GRATEME TENERIFE SUR,4,3,,
Jornada 3,12/10/2024,17:00,C.T.M. ACOROMA DE CANDELARIA,CTM TABOR ARAFO,4,2,,
Jornada 3,13/10/2024,11:00,JUVENTUD TENIS DE MESA,GRATEME TENERIFE SUR,5,1,,
Jornada 3,13/10/2024,11:00,C.D. TENIS DE MESA TEMEGUESTE,CLUB TENIS DE MESA ACOROMA,4,2,,
Jornada 3,13/10/2024,11:30,CLUB TENIS DE MESA TABOR AÑAVINGO,ARUCAS TENIS DE MESA,4,2,,
Jornada 4,19/10/2024,10:30,CLUB TENIS DE MESA TABOR AÑAVINGO,T.M.DEFENSE CAFE DE DON MANUEL,3,4,,
Jornada 4,19/10/2024,11:00,CLUB TENIS DE MESA ACOROMA,TENIS DE MESA DEFENSE REKLUTA,5,1,,
Jornada 4,19/10/2024,16:00,CTM TABOR ARAFO,T.M.DEFENSE CAFE DE DON MANUEL,2,4,,
Jornada 4,19/10/2024,16:00,C.T.M. ACOROMA DE CANDELARIA,TENIS DE MESA DEFENSE REKLUTA,5,1,,
Jornada 4,19/10/2024,17:00,GRATEME TENERIFE SUR,CD DEDALOS TM SANTA CRUZ,3,4,,
Jornada 4,20/10/2024,11:30,CIRCULO DE AMISTAD-TENERIFE,ARUCAS TENIS DE MESA,3,4,,
Jornada 5,26/10/2024,11:00,TENIS DE MESA DEFENSE REKLUTA,CIRCULO DE AMISTAD-TENERIFE,4,3,,
Jornada 5,26/10/2024,12:00,ARUCAS TENIS DE MESA,T.M.DEFENSE CAFE DE DON MANUEL,4,2,,
Jornada 5,26/10/2024,16:00,JUVENTUD TENIS DE MESA,CD DEDALOS TM SANTA CRUZ,5,1,,
Jornada 5,26/10/2024,17:00,CLUB TENIS DE MESA TABOR AÑAVINGO,CLUB TENIS DE MESA ACOROMA,6,0,,
Jornada 5,26/10/2024,17:00,GRATEME TENERIFE SUR,CTM TABOR ARAFO,2,4,,
Jornada 5,27/10/2024,11:00,C.D. TENIS DE MESA TEMEGUESTE,C.T.M. ACOROMA DE CANDELARIA,4,2,,
Jornada 6,09/11/2024,10:30,CLUB TENIS DE MESA TABOR AÑAVINGO,JUVENTUD TENIS DE MESA,6,0,,
Jornada 6,09/11/2024,11:00,T.M.DEFENSE CAFE DE DON MANUEL,CIRCULO DE AMISTAD-TENERIFE,4,3,,
Jornada 6,09/11/2024,14:30,CTM TABOR ARAFO,JUVENTUD TENIS DE MESA,4,2,,
Jornada 6,09/11/2024,16:00,ARUCAS TENIS DE MESA,C.D. TENIS DE MESA TEMEGUESTE,4,2,,
Jornada 6,09/11/2024,17:00,CD DEDALOS TM SANTA CRUZ,CLUB TENIS DE MESA ACOROMA,4,2,,
Jornada 6,09/11/2024,17:00,GRATEME TENERIFE SUR,C.T.M. ACOROMA DE CANDELARIA,2,4,,
Jornada 7,16/11/2024,11:00,TENIS DE MESA DEFENSE REKLUTA,C.D. TENIS DE MESA TEMEGUESTE,4,3,,
Jornada 7,16/11/2024,12:30,C.T.M. ACOROMA DE CANDELARIA,ARUCAS TENIS DE MESA,2,4,,
Jornada 7,16/11/2024,16:00,JUVENTUD TENIS DE MESA,C.D. TENIS DE MESA TEMEGUESTE,4,2,,
Jornada 7,16/11/2024,17:00,GRATEME TENERIFE SUR,CLUB TENIS DE MESA TABOR AÑAVINGO,0,6,,
Jornada 7,16/11/2024,17:00,CD DEDALOS TM SANTA CRUZ,CTM TABOR ARAFO,5,1,,
Jornada 7,16/11/2024,17:00,CIRCULO DE AMISTAD-TENERIFE,CLUB TENIS DE MESA ACOROMA,6,0,,
Jornada 7,17/11/2024,11:00,T.M.DEFENSE CAFE DE DON MANUEL,C.D. TENIS DE MESA TEMEGUESTE,4,2,,
Jornada 8,23/11/2024,10:00,CLUB TENIS DE MESA ACOROMA,T.M.DEFENSE CAFE DE DON MANUEL,4,3,,
Jornada 8,23/11/2024,10:30,CLUB TENIS DE MESA TABOR AÑAVINGO,TENIS DE MESA DEFENSE REKLUTA,6,0,,
Jornada 8,23/11/2024,11:00,JUVENTUD TENIS DE MESA,CIRCULO DE AMISTAD-TENERIFE,2,4,,
Jornada 8,23/11/2024,12:00,ARUCAS TENIS DE MESA,CD DEDALOS TM SANTA CRUZ,4,3,,
Jornada 8,23/11/2024,15:30,C.T.M. ACOROMA DE CANDELARIA,T.M.DEFENSE CAFE DE DON MANUEL,2,4,,
Jornada 8,23/11/2024,16:00,CTM TABOR ARAFO,TENIS DE MESA DEFENSE REKLUTA,5,1,,
Jornada 8,24/11/2024,11:00,C.D. TENIS DE MESA TEMEGUESTE,GRATEME TENERIFE SUR,4,2,,
Jornada 9,30/11/2024,12:00,ARUCAS TENIS DE MESA,CLUB TENIS DE MESA ACOROMA,5,1,,
Jornada 9,30/11/2024,16:00,JUVENTUD TENIS DE MESA,TENIS DE MESA DEFENSE REKLUTA,3,4,,
Jornada 9,30/11/2024,17:00,CD DEDALOS TM SANTA CRUZ,C.T.M. ACOROMA DE CANDELARIA,6,0,,
Jornada 9,30/11/2024,18:00,CLUB TENIS DE MESA TABOR AÑAVINGO,CIRCULO DE AMISTAD-TENERIFE,6,0,,
Jornada 9,01/12/2024,11:00,C.D. TENIS DE MESA TEMEGUESTE,CTM TABOR ARAFO,4,3,,
Jornada 10,13/12/2024,17:00,C.T.M. ACOROMA DE CANDELARIA,CLUB TENIS DE MESA TABOR AÑAVINGO,0,6,,
Jornada 10,14/12/2024,11:30,ARUCAS TENIS DE MESA,TENIS DE MESA DEFENSE REKLUTA,4,2,,
