jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,27/09/2024,18:00,ENOLI LES BORGES VALL,VISIT PONTEVEDRA,2,4,,
Jornada 1,27/09/2024,18:30,HORTITEC ALZIRA TT,IRUN LEKA ENEA,0,4,,
Jornada 1,27/09/2024,18:30,C.T.T. OLOT - CAPDEVILA PERMAR,ALICANTE TM,2,4,,
Jornada 1,27/09/2024,18:30,REAL CAJASUR PRIEGO TM,ARTEAL SANTIAGO,4,1,,
Jornada 1,27/09/2024,19:30,TECNIGEN LINARES,C.E.R. ROBIN HAT/PRISCO L´ESCALA,3,3,,
Jornada 1,28/09/2024,19:00,SANTJOSEP.NET - SANT JORDI,UNIVERSIDAD DE BURGOS - TPF,3,3,,
Jornada 2,04/10/2024,18:30,IRUN LEKA ENEA,SANTJOSEP.NET - SANT JORDI,4,0,,
Jornada 2,04/10/2024,19:00,REAL CAJASUR PRIEGO TM,TECNIGEN LINARES,3,3,,
Jornada 2,04/10/2024,19:00,C.E.R. ROBIN HAT/PRISCO L´ESCALA,ENOLI LES BORGES VALL,2,4,,
Jornada 2,05/10/2024,11:00,ALICANTE TM,HORTITEC ALZIRA TT,4,2,,
Jornada 2,06/10/2024,10:00,VISIT PONTEVEDRA,C.T.T. OLOT - CAPDEVILA PERMAR,4,2,,
Jornada 2,16/10/2024,18:00,ARTEAL SANTIAGO,UNIVERSIDAD DE BURGOS - TPF,2,4,,
Jornada 3,11/10/2024,18:00,ENOLI LES BORGES VALL,REAL CAJASUR PRIEGO TM,0,4,,
Jornada 3,11/10/2024,18:30,HORTITEC ALZIRA TT,VISIT PONTEVEDRA,3,3,,
Jornada 3,11/10/2024,18:30,C.T.T. OLOT - CAPDEVILA PERMAR,C.E.R. ROBIN HAT/PRISCO L´ESCALA,4,0,,
Jornada 3,11/10/2024,19:30,TECNIGEN LINARES,ARTEAL SANTIAGO,1,4,,
Jornada 3,12/10/2024,17:30,UNIVERSIDAD DE BURGOS - TPF,IRUN LEKA ENEA,2,4,,
Jornada 3,12/10/2024,19:00,SANTJOSEP.NET - SANT JORDI,ALICANTE TM,1,4,,
Jornada 4,18/10/2024,18:00,ARTEAL SANTIAGO,IRUN LEKA ENEA,3,3,,
Jornada 4,18/10/2024,18:30,C.E.R. ROBIN HAT/PRISCO L´ESCALA,HORTITEC ALZIRA TT,1,4,,
Jornada 4,18/10/2024,19:00,REAL CAJASUR PRIEGO TM,C.T.T. OLOT - CAPDEVILA PERMAR,4,1,,
Jornada 4,18/10/2024,19:30,TECNIGEN LINARES,ENOLI LES BORGES VALL,2,4,,
Jornada 4,19/10/2024,11:00,ALICANTE TM,UNIVERSIDAD DE BURGOS - TPF,4,2,,
Jornada 4,20/10/2024,10:00,VISIT PONTEVEDRA,SANTJOSEP.NET - SANT JORDI,4,0,,
Jornada 5,25/10/2024,18:00,ENOLI LES BORGES VALL,ARTEAL SANTIAGO,4,0,,
Jornada 5,25/10/2024,18:30,HORTITEC ALZIRA TT,REAL CAJASUR PRIEGO TM,1,4,,
Jornada 5,25/10/2024,18:30,C.T.T. OLOT - CAPDEVILA PERMAR,TECNIGEN LINARES,4,0,,
Jornada 5,26/10/2024,11:00,ALICANTE TM,IRUN LEKA ENEA,3,3,,
Jornada 5,26/10/2024,19:00,SANTJOSEP.NET - SANT JORDI,C.E.R. ROBIN HAT/PRISCO L´ESCALA,3,3,,
Jornada 5,06/11/2024,18:00,UNIVERSIDAD DE BURGOS - TPF,VISIT PONTEVEDRA,2,4,,
Jornada 6,08/11/2024,18:00,ENOLI LES BORGES VALL,C.T.T. OLOT - CAPDEVILA PERMAR,4,1,,
Jornada 6,08/11/2024,18:00,ARTEAL SANTIAGO,ALICANTE TM,4,1,,
Jornada 6,08/11/2024,18:30,C.E.R. ROBIN HAT/PRISCO L´ESCALA,UNIVERSIDAD DE BURGOS - TPF,4,1,,
Jornada 6,08/11/2024,19:00,REAL CAJASUR PRIEGO TM,SANTJOSEP.NET - SANT JORDI,4,1,,
Jornada 6,08/11/2024,19:30,TECNIGEN LINARES,HORTITEC ALZIRA TT,3,3,,
Jornada 6,10/11/2024,10:00,VISIT PONTEVEDRA,IRUN LEKA ENEA,4,2,,
Jornada 7,15/11/2024,18:30,C.T.T. OLOT - CAPDEVILA PERMAR,ARTEAL SANTIAGO,1,4,,
Jornada 7,16/11/2024,11:00,ALICANTE TM,VISIT PONTEVEDRA,4,1,,
Jornada 7,16/11/2024,19:00,SANTJOSEP.NET - SANT JORDI,TECNIGEN LINARES,4,1,,
Jornada 7,20/11/2024,18:00,HORTITEC ALZIRA TT,ENOLI LES BORGES VALL,4,1,,
Jornada 7,20/11/2024,18:00,IRUN LEKA ENEA,C.E.R. ROBIN HAT/PRISCO L´ESCALA,2,4,,
Jornada 7,20/11/2024,18:00,UNIVERSIDAD DE BURGOS - TPF,REAL CAJASUR PRIEGO TM,4,1,,
Jornada 8,22/11/2024,18:00,ENOLI LES BORGES VALL,SANTJOSEP.NET - SANT JORDI,4,0,,
Jornada 8,22/11/2024,18:30,C.T.T. OLOT - CAPDEVILA PERMAR,HORTITEC ALZIRA TT,4,0,,
Jornada 8,22/11/2024,19:00,REAL CAJASUR PRIEGO TM,IRUN LEKA ENEA,4,1,,
Jornada 8,27/11/2024,18:00,TECNIGEN LINARES,UNIVERSIDAD DE BURGOS - TPF,4,2,,
Jornada 8,27/11/2024,18:00,C.E.R. ROBIN HAT/PRISCO L´ESCALA,ALICANTE TM,2,4,,
Jornada 8,27/11/2024,18:00,ARTEAL SANTIAGO,VISIT PONTEVEDRA,4,1,,
Jornada 9,29/11/2024,18:30,IRUN LEKA ENEA,TECNIGEN LINARES,4,1,,
Jornada 9,29/11/2024,18:30,HORTITEC ALZIRA TT,ARTEAL SANTIAGO,1,4,,
Jornada 9,30/11/2024,11:00,ALICANTE TM,REAL CAJASUR PRIEGO TM,0,4,,
Jornada 9,30/11/2024,17:30,UNIVERSIDAD DE BURGOS - TPF,ENOLI LES BORGES VALL,3,3,,
Jornada 9,30/11/2024,19:00,SANTJOSEP.NET - SANT JORDI,C.T.T. OLOT - CAPDEVILA PERMAR,3,3,,
Jornada 9,01/12/2024,10:00,VISIT PONTEVEDRA,C.E.R. ROBIN HAT/PRISCO L´ESCALA,1,4,,
Jornada 10,10/12/2024,18:00,ENOLI LES BORGES VALL,IRUN LEKA ENEA,3,3,,
Jornada 10,13/12/2024,18:30,HORTITEC ALZIRA TT,SANTJOSEP.NET - SANT JORDI,4,0,,
Jornada 10,13/12/2024,19:30,TECNIGEN LINARES,ALICANTE TM,1,4,,
Jornada 10,18/12/2024,18:00,C.T.T. OLOT - CAPDEVILA PERMAR,UNIVERSIDAD DE BURGOS - TPF,4,1,,
Jornada 10,18/12/2024,18:00,ARTEAL SANTIAGO,C.E.R. ROBIN HAT/PRISCO L´ESCALA,4,1,,
Jornada 10,19/12/2024,18:00,REAL CAJASUR PRIEGO TM,VISIT PONTEVEDRA,4,1,,
Jornada 11,10/01/2025,18:30,IRUN LEKA ENEA,C.T.T. OLOT - CAPDEVILA PERMAR,4,2,,
Jornada 11,11/01/2025,11:00,ALICANTE TM,ENOLI LES BORGES VALL,3,3,,
Jornada 11,11/01/2025,19:00,SANTJOSEP.NET - SANT JORDI,ARTEAL SANTIAGO,1,4,,
Jornada 11,12/01/2025,10:00,VISIT PONTEVEDRA,TECNIGEN LINARES,3,3,,
Jornada 11,15/01/2025,18:00,C.E.R. ROBIN HAT/PRISCO L´ESCALA,REAL CAJASUR PRIEGO TM,2,4,,
Jornada 11,15/01/2025,18:00,UNIVERSIDAD DE BURGOS - TPF,HORTITEC ALZIRA TT,0,4,,
Jornada 12,17/01/2025,18:00,ARTEAL SANTIAGO,REAL CAJASUR PRIEGO TM,0,4,,
