name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=24
ARTEAL SANTIAGO SD COMPOSTELA,21,21,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=21
ASISA BORGES VALL,767,767,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=767
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=1034
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=385
C.E.R. ROBIN PRISCO L´ESCALA,23,23,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=23
IRUN LEKA ENEA,39,39,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=39
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=1348
HORTITEC ALZIRA TT,193,193,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=193
COLLADO MEDIANO TM (AGRUPACION DEPORTIVA,56,56,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=56
PODOMAT TM PARLA,10770,10770,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=10770
CTM MURCIA EL PALMAR,72,72,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=72
UCAM CARTAGENA TM,9,9,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2022-2023/view.php?eqdat=9
